seed,pool,static_fee_pips,lp_minus_hodl_bps,fee_income_bps,fee_noise_bps,fee_arb_bps,arb_profit_bps,arb_profit_trend_bps,arb_profit_reversion_bps,arb_fee_trend_bps,arb_fee_reversion_bps,avg_fee_up_pips,avg_fee_down_pips,avg_fee_noise_pips,avg_fee_arb_pips,arb_trades
0,StoikovHook,dynamic,0.781,4.447,3.336,1.110,0.547,0.337,0.209,0.692,0.417,2511,1694,2113,2180,151
0,fee-matched,2113,0.731,4.393,3.335,1.057,0.532,0.328,0.203,0.615,0.441,2113,2113,2113,2113,150
0,static 0.05%,500,-2.388,1.281,0.789,0.492,1.066,0.565,0.500,0.253,0.238,500,500,500,500,294
0,static 0.30%,3000,2.285,5.939,4.736,1.203,0.416,0.279,0.137,0.749,0.453,3000,3000,3000,3000,127
1,StoikovHook,dynamic,-4.950,4.376,3.051,1.325,0.553,0.320,0.233,0.850,0.474,1559,2717,2091,2499,166
1,fee-matched,2092,-5.147,4.168,3.051,1.117,0.548,0.316,0.231,0.643,0.473,2092,2092,2092,2092,167
1,static 0.05%,500,-8.060,1.216,0.729,0.486,1.054,0.524,0.530,0.249,0.237,500,500,500,500,298
1,static 0.30%,3000,-3.625,5.709,4.375,1.333,0.445,0.291,0.153,0.854,0.479,3000,3000,3000,3000,142
2,StoikovHook,dynamic,-8.706,4.479,3.235,1.244,0.519,0.320,0.199,0.817,0.427,2637,1537,2075,2395,168
2,fee-matched,2076,-8.868,4.300,3.235,1.064,0.511,0.313,0.198,0.622,0.441,2076,2076,2076,2076,159
2,static 0.05%,500,-11.932,1.274,0.779,0.494,0.975,0.447,0.528,0.238,0.256,500,500,500,500,311
2,static 0.30%,3000,-7.226,5.919,4.676,1.243,0.423,0.293,0.130,0.806,0.436,3000,3000,3000,3000,129
3,StoikovHook,dynamic,-3.356,4.524,3.421,1.102,0.517,0.243,0.274,0.603,0.499,1664,2770,2259,2313,150
3,fee-matched,2260,-3.379,4.494,3.421,1.072,0.520,0.228,0.291,0.521,0.550,2260,2260,2260,2260,146
3,static 0.05%,500,-6.590,1.242,0.757,0.485,1.065,0.414,0.651,0.216,0.268,500,500,500,500,304
3,static 0.30%,3000,-2.140,5.748,4.542,1.205,0.452,0.215,0.237,0.631,0.573,3000,3000,3000,3000,119
4,StoikovHook,dynamic,-10.634,4.968,3.618,1.350,0.564,0.313,0.250,0.887,0.462,2724,1486,2124,2363,177
4,fee-matched,2124,-10.800,4.783,3.617,1.165,0.542,0.297,0.244,0.688,0.476,2124,2124,2124,2124,169
4,static 0.05%,500,-14.282,1.351,0.851,0.499,1.006,0.553,0.452,0.275,0.223,500,500,500,500,307
4,static 0.30%,3000,-9.027,6.528,5.109,1.418,0.478,0.262,0.216,0.856,0.561,3000,3000,3000,3000,142
5,StoikovHook,dynamic,-11.423,4.883,3.229,1.653,0.661,0.446,0.215,1.180,0.473,1607,3012,2254,2773,185
5,fee-matched,2255,-11.706,4.563,3.229,1.333,0.656,0.449,0.206,0.852,0.481,2255,2255,2255,2255,182
5,static 0.05%,500,-14.978,1.216,0.716,0.499,1.073,0.648,0.424,0.280,0.219,500,500,500,500,312
5,static 0.30%,3000,-10.450,5.846,4.296,1.549,0.576,0.421,0.154,1.034,0.514,3000,3000,3000,3000,160
6,StoikovHook,dynamic,-2.707,4.727,3.362,1.364,0.643,0.344,0.298,0.748,0.616,2652,1635,2137,2321,172
6,fee-matched,2137,-2.824,4.601,3.362,1.238,0.632,0.338,0.294,0.645,0.592,2137,2137,2137,2137,177
6,static 0.05%,500,-6.167,1.292,0.786,0.506,1.062,0.527,0.534,0.249,0.257,500,500,500,500,315
6,static 0.30%,3000,-1.178,6.224,4.720,1.503,0.556,0.293,0.262,0.796,0.707,3000,3000,3000,3000,150
7,StoikovHook,dynamic,-5.185,4.511,3.369,1.142,0.572,0.355,0.217,0.764,0.377,1589,2778,2255,2228,163
7,fee-matched,2255,-5.188,4.499,3.369,1.130,0.555,0.342,0.212,0.712,0.418,2255,2255,2255,2255,159
7,static 0.05%,500,-8.413,1.222,0.747,0.475,1.004,0.565,0.439,0.263,0.212,500,500,500,500,299
7,static 0.30%,3000,-3.949,5.756,4.482,1.273,0.470,0.299,0.171,0.814,0.459,3000,3000,3000,3000,129
8,StoikovHook,dynamic,-11.812,4.899,3.600,1.299,0.502,0.286,0.216,0.787,0.511,2769,1525,2130,2559,157
8,fee-matched,2130,-12.050,4.647,3.599,1.047,0.495,0.284,0.210,0.569,0.477,2130,2130,2130,2130,153
8,static 0.05%,500,-15.411,1.311,0.845,0.466,0.936,0.489,0.447,0.240,0.225,500,500,500,500,289
8,static 0.30%,3000,-10.394,6.288,5.070,1.217,0.407,0.266,0.141,0.740,0.476,3000,3000,3000,3000,129
9,StoikovHook,dynamic,-9.133,4.361,3.032,1.329,0.552,0.364,0.187,0.903,0.425,1491,2713,2077,2463,173
9,fee-matched,2078,-9.327,4.155,3.032,1.122,0.553,0.365,0.188,0.695,0.426,2078,2078,2078,2078,173
9,static 0.05%,500,-12.241,1.195,0.729,0.466,0.974,0.542,0.431,0.254,0.211,500,500,500,500,301
9,static 0.30%,3000,-7.723,5.785,4.378,1.407,0.481,0.357,0.124,0.963,0.443,3000,3000,3000,3000,150
10,StoikovHook,dynamic,-2.615,4.818,3.723,1.094,0.533,0.275,0.257,0.574,0.520,2772,1683,2264,2320,150
