set,ref_tau_s,seed,matched_fee_pips,lp_gain_bps,arb_fee_gain_bps,arb_profit_change_bps,first_trend_arb_fee_gain_bps,reversal_arb_fee_gain_bps
reversal,300,21,2270,0.228,0.207,0.015,0.145,0.063
reversal,300,22,2431,0.253,0.249,0.029,0.165,0.083
reversal,300,23,2414,0.159,0.142,0.027,0.060,0.083
reversal,300,24,2237,0.141,0.140,0.006,0.115,0.026
reversal,300,25,2167,0.163,0.145,0.013,0.094,0.051
reversal,300,26,2330,0.222,0.229,0.022,0.085,0.144
reversal,300,27,2493,0.139,0.124,0.027,0.057,0.067
reversal,300,28,2407,0.260,0.257,0.021,0.168,0.090
reversal,300,29,2181,0.210,0.189,0.027,0.119,0.070
reversal,300,30,2215,0.321,0.326,0.022,0.131,0.194
reversal,300,31,2234,0.125,0.114,0.010,0.095,0.019
reversal,300,32,2300,0.117,0.113,0.015,0.034,0.080
reversal,300,33,2154,0.163,0.151,0.016,0.127,0.024
reversal,300,34,2329,0.131,0.131,0.019,0.043,0.089
reversal,300,35,2414,0.244,0.220,0.013,0.042,0.177
reversal,300,36,2248,0.152,0.157,0.014,0.129,0.029
reversal,300,37,2401,0.263,0.243,0.027,0.041,0.201
reversal,300,38,2317,0.278,0.277,0.023,0.132,0.146
reversal,300,39,2281,0.150,0.131,0.020,0.054,0.078
reversal,300,40,2372,0.099,0.100,0.003,0.001,0.098
reversal,900,21,2253,0.331,0.295,-0.006,0.235,0.059
reversal,900,22,2436,0.318,0.293,0.014,0.241,0.052
reversal,900,23,2411,0.271,0.226,0.012,0.148,0.078
reversal,900,24,2235,0.202,0.184,0.001,0.198,-0.014
reversal,900,25,2181,0.190,0.159,0.005,0.130,0.030
reversal,900,26,2299,0.377,0.366,0.004,0.186,0.179
reversal,900,27,2521,0.176,0.141,0.011,0.131,0.009
reversal,900,28,2382,0.394,0.374,-0.010,0.297,0.076
reversal,900,29,2146,0.345,0.310,0.009,0.226,0.084
reversal,900,30,2170,0.487,0.465,0.001,0.258,0.207
reversal,900,31,2232,0.172,0.149,-0.004,0.166,-0.017
reversal,900,32,2304,0.217,0.198,0.002,0.115,0.083
reversal,900,33,2142,0.263,0.241,0.008,0.191,0.049
reversal,900,34,2316,0.241,0.220,0.002,0.132,0.089
reversal,900,35,2412,0.325,0.282,-0.006,0.104,0.178
reversal,900,36,2235,0.240,0.239,0.006,0.206,0.033
reversal,900,37,2377,0.407,0.357,0.007,0.114,0.242
reversal,900,38,2327,0.330,0.312,0.004,0.202,0.111
reversal,900,39,2270,0.233,0.197,0.004,0.136,0.061
reversal,900,40,2361,0.218,0.206,-0.025,0.082,0.123
reversal,1800,21,2242,0.294,0.248,-0.006,0.241,0.007
reversal,1800,22,2417,0.283,0.244,0.013,0.246,-0.002
reversal,1800,23,2384,0.257,0.201,0.006,0.160,0.042
reversal,1800,24,2230,0.161,0.132,0.000,0.209,-0.077
reversal,1800,25,2176,0.140,0.104,0.005,0.134,-0.029
reversal,1800,26,2279,0.359,0.337,-0.003,0.194,0.143
reversal,1800,27,2553,0.037,-0.009,0.014,0.126,-0.134
reversal,1800,28,2397,0.285,0.253,-0.014,0.297,-0.044
reversal,1800,29,2135,0.309,0.268,0.009,0.235,0.033
reversal,1800,30,2173,0.442,0.404,-0.006,0.276,0.127
reversal,1800,31,2239,0.124,0.098,0.000,0.169,-0.071
reversal,1800,32,2303,0.160,0.134,0.000,0.121,0.013
reversal,1800,33,2132,0.235,0.206,0.001,0.202,0.005
reversal,1800,34,2315,0.201,0.168,0.002,0.142,0.026
reversal,1800,35,2413,0.261,0.206,-0.007,0.108,0.098
reversal,1800,36,2203,0.231,0.218,0.001,0.219,0.000
reversal,1800,37,2370,0.367,0.304,-0.004,0.127,0.177
reversal,1800,38,2357,0.203,0.172,0.009,0.200,-0.029
reversal,1800,39,2284,0.151,0.109,0.002,0.135,-0.026
reversal,1800,40,2357,0.180,0.155,-0.027,0.094,0.062
reversal,3600,21,2231,0.243,0.191,-0.007,0.248,-0.057
reversal,3600,22,2383,0.264,0.214,0.011,0.255,-0.041
reversal,3600,23,2360,0.241,0.176,0.006,0.165,0.011
reversal,3600,24,2211,0.121,0.091,-0.002,0.214,-0.123
reversal,3600,25,2137,0.115,0.075,0.002,0.140,-0.065
reversal,3600,26,2276,0.289,0.258,-0.006,0.196,0.063
reversal,3600,27,2547,-0.059,-0.109,0.018,0.127,-0.236
reversal,3600,28,2409,0.181,0.139,-0.014,0.293,-0.154
reversal,3600,29,2128,0.255,0.209,0.006,0.240,-0.032
reversal,3600,30,2177,0.389,0.341,-0.005,0.278,0.064
reversal,3600,31,2233,0.082,0.053,0.000,0.171,-0.118
reversal,3600,32,2310,0.078,0.046,0.000,0.121,-0.076
reversal,3600,33,2148,0.158,0.128,0.001,0.203,-0.076
reversal,3600,34,2312,0.158,0.117,0.002,0.146,-0.029
reversal,3600,35,2424,0.131,0.068,-0.008,0.108,-0.040
reversal,3600,36,2193,0.183,0.162,-0.002,0.224,-0.062
reversal,3600,37,2373,0.284,0.213,-0.008,0.130,0.083
reversal,3600,38,2374,0.079,0.038,0.010,0.199,-0.160
reversal,3600,39,2285,0.081,0.038,0.002,0.138,-0.099
reversal,3600,40,2355,0.122,0.089,-0.026,0.095,-0.006
