set,ref_tau_s,seed,matched_fee_pips,lp_gain_bps,arb_fee_gain_bps,arb_profit_change_bps,trend_arb_fee_gain_bps,reversion_arb_fee_gain_bps
train,60,1,2138,-0.004,-0.007,0.015,0.010,-0.017
train,60,2,2088,0.003,0.009,0.011,0.021,-0.013
train,60,3,2241,-0.024,-0.027,-0.007,-0.014,-0.013
train,60,4,2106,0.025,0.029,0.022,0.042,-0.013
train,60,5,2293,0.039,0.044,0.016,0.055,-0.010
train,60,6,2162,-0.018,-0.016,0.017,-0.018,0.003
train,60,7,2227,-0.048,-0.054,0.013,-0.046,-0.008
train,60,8,2134,0.046,0.050,0.012,0.045,0.005
train,60,9,2116,-0.010,-0.015,0.011,-0.004,-0.011
train,60,10,2225,-0.005,-0.002,0.006,0.016,-0.019
train,60,11,2111,-0.047,-0.050,-0.001,-0.039,-0.011
train,60,12,2371,-0.006,-0.001,0.030,0.000,-0.002
train,60,13,2290,-0.013,-0.012,0.022,0.013,-0.024
train,60,14,2319,-0.028,-0.023,0.010,-0.008,-0.014
train,60,15,2250,0.043,0.040,0.033,0.047,-0.007
train,60,16,2346,0.048,0.051,0.008,0.050,0.002
train,60,17,2250,0.016,0.017,0.023,0.029,-0.011
train,60,18,2210,0.027,0.032,0.020,0.036,-0.005
train,60,19,2188,0.019,0.019,0.035,0.028,-0.008
train,60,20,2234,-0.042,-0.039,0.007,-0.037,-0.002
train,150,1,2133,0.027,0.027,0.016,0.047,-0.021
train,150,2,2093,0.031,0.038,0.013,0.053,-0.014
train,150,3,2241,-0.013,-0.014,-0.005,0.005,-0.018
train,150,4,2113,0.046,0.054,0.024,0.075,-0.022
train,150,5,2290,0.084,0.097,0.019,0.112,-0.016
train,150,6,2159,0.001,0.005,0.018,0.005,0.000
train,150,7,2231,-0.040,-0.042,0.016,-0.028,-0.015
train,150,8,2136,0.079,0.087,0.014,0.083,0.004
train,150,9,2115,0.027,0.026,0.015,0.042,-0.015
train,150,10,2236,-0.002,0.002,0.009,0.025,-0.023
train,150,11,2115,-0.026,-0.026,0.002,-0.015,-0.010
train,150,12,2370,0.025,0.031,0.033,0.028,0.002
train,150,13,2287,0.037,0.043,0.023,0.069,-0.027
train,150,14,2315,-0.007,0.000,0.014,0.017,-0.018
train,150,15,2241,0.093,0.096,0.035,0.103,-0.008
train,150,16,2339,0.109,0.116,0.010,0.115,0.001
train,150,17,2262,0.033,0.039,0.024,0.058,-0.020
train,150,18,2206,0.064,0.069,0.021,0.077,-0.007
train,150,19,2194,0.032,0.036,0.040,0.045,-0.010
train,150,20,2228,-0.015,-0.009,0.010,-0.008,-0.001
train,300,1,2121,0.081,0.086,0.016,0.108,-0.021
train,300,2,2086,0.077,0.089,0.013,0.104,-0.016
train,300,3,2243,0.005,0.006,-0.003,0.030,-0.024
train,300,4,2126,0.088,0.101,0.026,0.128,-0.027
train,300,5,2280,0.159,0.181,0.019,0.202,-0.021
train,300,6,2162,0.029,0.033,0.019,0.033,0.001
train,300,7,2237,-0.022,-0.022,0.018,-0.002,-0.020
train,300,8,2142,0.140,0.151,0.015,0.144,0.007
train,300,9,2104,0.092,0.097,0.016,0.115,-0.019
train,300,10,2245,0.009,0.015,0.012,0.040,-0.025
train,300,11,2131,0.013,0.018,0.004,0.022,-0.004
train,300,12,2366,0.063,0.074,0.035,0.067,0.007
train,300,13,2281,0.118,0.131,0.024,0.159,-0.027
train,300,14,2318,0.024,0.034,0.014,0.059,-0.024
train,300,15,2232,0.180,0.189,0.033,0.199,-0.009
train,300,16,2314,0.215,0.227,0.007,0.229,-0.002
train,300,17,2277,0.063,0.077,0.025,0.101,-0.024
train,300,18,2186,0.124,0.132,0.019,0.138,-0.006
train,300,19,2215,0.051,0.058,0.042,0.070,-0.013
