block,segment,true_tick,pool_tick,fee_up_pips,fee_down_pips
1,trend,7,-2,839,839
2,trend,16,7,833,837
3,trend,3,12,879,866
4,trend,4,12,890,867
5,trend,13,-15,882,860
6,trend,17,-15,1118,1167
7,trend,20,30,1106,1153
8,trend,23,30,1657,1497
9,trend,37,47,1634,1479
10,trend,46,36,1713,1464
11,trend,57,37,1682,1496
12,trend,62,83,1661,1475
13,trend,58,74,2157,1607
14,trend,56,95,2105,1628
15,trend,63,65,2216,1588
16,trend,82,63,2215,1776
17,trend,93,60,2172,1761
18,trend,75,71,2128,1751
19,trend,64,86,2151,1705
20,trend,73,93,2204,1657
21,trend,85,93,2200,1619
22,trend,90,93,2164,1602
23,trend,81,91,2131,1586
24,trend,96,131,2090,1575
25,trend,104,127,2465,1583
26,trend,119,127,2409,1584
27,trend,120,118,2368,1569
28,trend,122,103,2308,1593
29,trend,146,123,2252,1653
30,trend,144,125,2351,1604
31,trend,151,119,2318,1581
32,trend,144,100,2263,1589
33,trend,149,144,2216,1678
34,trend,161,138,2646,1675
35,trend,157,138,2579,1686
36,trend,166,134,2535,1669
37,trend,171,149,2476,1669
38,trend,179,129,2526,1614
39,trend,164,144,2465,1712
40,trend,167,144,2515,1656
41,trend,189,170,2472,1640
42,trend,175,173,2636,1581
43,trend,162,173,2601,1556
44,trend,180,160,2555,1543
45,trend,181,160,2487,1593
46,trend,185,160,2445,1578
47,trend,172,164,2404,1564
48,trend,176,146,2379,1536
49,trend,181,157,2327,1617
50,trend,191,170,2346,1573
51,trend,196,160,2380,1527
52,trend,190,177,2320,1557
53,trend,194,208,2389,1510
54,trend,210,208,2627,1465
55,trend,232,208,2580,1454
56,trend,237,220,2535,1444
57,trend,237,208,2558,1401
58,trend,260,235,2494,1446
59,trend,263,236,2678,1393
60,trend,269,251,2631,1380
61,trend,276,241,2678,1333
62,trend,277,274,2609,1369
63,trend,280,279,2883,1311
64,trend,287,279,2851,1288
65,trend,298,296,2797,1283
66,trend,305,296,2820,1273
67,trend,310,280,2776,1258
68,trend,321,253,2741,1300
69,trend,319,291,2717,1448
70,trend,322,300,3064,1379
71,trend,323,300,3046,1348
72,trend,328,306,2996,1335
73,trend,350,315,2956,1318
74,trend,359,301,2923,1307
75,trend,367,338,2881,1334
76,trend,348,342,3103,1367
77,trend,365,339,3055,1351
78,trend,358,334,3007,1335
79,trend,368,345,2963,1321
80,trend,377,345,2936,1312
81,trend,381,352,2889,1296
82,trend,380,353,2852,1284
83,trend,396,363,2806,1268
84,trend,392,364,2780,1260
85,trend,398,378,2736,1245
86,trend,393,378,2731,1243
87,trend,412,405,2689,1229
88,trend,405,414,2789,1263
89,trend,401,406,2760,1253
90,trend,387,388,2729,1243
91,trend,393,401,2749,1249
92,trend,391,411,2738,1246
93,trend,408,411,2714,1238
94,trend,389,434,2673,1224
95,trend,406,427,2735,1245
96,trend,414,426,2702,1234
97,trend,413,439,2659,1219
98,trend,410,427,2651,1217
99,trend,392,420,2639,1213
100,trend,388,400,2607,1202
101,trend,376,388,2649,1216
102,trend,380,420,2619,1229
103,trend,394,406,2796,1265
104,trend,405,389,2789,1263
105,trend,400,385,2753,1313
106,trend,400,377,2688,1322
107,trend,409,408,2620,1349
108,trend,425,386,2864,1290
109,trend,437,397,2809,1402
110,trend,442,429,2819,1359
111,trend,434,429,3020,1340
112,trend,425,441,2973,1324
113,trend,430,438,2951,1317
114,trend,432,427,2905,1301
115,trend,424,406,2879,1294
116,trend,424,376,2819,1400
117,trend,415,391,2792,1576
118,trend,420,387,2837,1518
119,trend,410,387,2770,1524
120,trend,409,387,2719,1513
121,trend,391,387,2672,1502
122,trend,378,421,2627,1492
123,trend,381,395,2907,1429
124,trend,396,407,2852,1574
125,trend,395,404,2871,1522
126,trend,396,405,2805,1523
127,trend,407,400,2756,1508
128,trend,407,377,2689,1518
129,trend,421,361,2632,1639
130,trend,430,404,2559,1709
131,trend,435,419,2968,1654
132,trend,448,413,3011,1589
133,trend,447,415,2932,1605
134,trend,452,427,2886,1584
135,trend,444,450,2904,1531
136,trend,447,465,3030,1457
137,trend,462,444,3071,1398
138,trend,449,468,2992,1508
139,trend,457,468,3130,1429
140,trend,453,440,3070,1423
141,trend,440,440,3011,1586
142,trend,458,440,2955,1574
143,trend,462,440,2902,1564
144,trend,470,462,2852,1553
145,trend,469,442,2967,1482
146,trend,465,413,2887,1584
147,trend,475,408,2831,1758
148,trend,485,427,2761,1764
149,trend,481,434,2844,1692
150,trend,499,489,2828,1650
151,trend,491,483,3466,1569
152,trend,492,483,3372,1592
153,trend,498,463,3307,1583
154,trend,505,457,3203,1691
155,trend,513,481,3117,1709
156,trend,509,482,3251,1617
157,trend,498,475,3192,1601
158,trend,497,480,3104,1625
159,trend,502,487,3070,1592
160,trend,503,500,3049,1552
161,trend,510,490,3073,1495
162,trend,498,490,2985,1535
163,trend,503,492,2930,1525
164,trend,508,477,2882,1506
165,trend,512,485,2801,1573
166,trend,506,476,2791,1532
167,trend,502,491,2715,1563
168,trend,506,462,2761,1507
169,trend,507,479,2722,1678
170,trend,517,471,2787,1613
171,trend,517,489,2712,1637
172,trend,526,532,2786,1573
173,trend,507,525,3206,1494
174,trend,521,528,3118,1520
175,trend,524,548,3072,1498
176,trend,513,527,3162,1425
177,trend,505,520,3076,1537
178,trend,500,515,2993,1560
179,trend,506,548,2918,1572
180,trend,497,517,3174,1484
181,trend,503,491,3112,1675
182,trend,493,491,3023,1828
183,trend,494,482,2968,1811
184,trend,495,458,2883,1840
185,trend,519,495,2794,1976
186,trend,500,488,3092,1879
187,trend,504,462,3007,1897
188,trend,501,515,2909,2052
189,trend,519,503,3461,1945
190,trend,506,503,3347,1999
191,trend,510,490,3285,1980
192,trend,523,501,3175,2038
193,trend,518,480,3186,1967
194,trend,525,486,3072,2083
195,trend,523,486,3050,2031
196,trend,549,500,2994,2008
197,trend,564,540,3031,1931
198,trend,572,554,3376,1814
199,trend,586,575,3406,1739
200,trend,570,599,3504,1643
201,reversion,563,575,3631,1543
202,reversion,571,575,3516,1684
203,reversion,567,575,3448,1673
204,reversion,563,592,3384,1663
205,reversion,555,566,3441,1584
206,reversion,560,582,3335,1741
207,reversion,561,577,3384,1662
208,reversion,564,577,3295,1676
209,reversion,574,573,3231,1664
210,reversion,570,558,3151,1671
211,reversion,568,531,3051,1743
212,reversion,571,541,2963,1904
213,reversion,551,541,2969,1844
214,reversion,552,547,2915,1826
215,reversion,547,540,2893,1783
216,reversion,540,540,2815,1800
217,reversion,537,535,2766,1782
218,reversion,539,579,2697,1787
219,reversion,541,575,3115,1713
220,reversion,530,547,3039,1718
221,reversion,530,543,2956,1888
222,reversion,530,556,2885,1888
223,reversion,546,569,2914,1820
224,reversion,565,571,2942,1755
225,reversion,560,571,2897,1729
226,reversion,567,557,2844,1714
227,reversion,589,592,2759,1773
228,reversion,584,592,3037,1689
229,reversion,563,579,2981,1675
230,reversion,564,579,2890,1731
231,reversion,554,571,2838,1715
232,reversion,546,558,2760,1738
233,reversion,560,557,2678,1790
234,reversion,540,557,2626,1775
235,reversion,555,539,2581,1756
236,reversion,560,552,2508,1840
237,reversion,566,551,2541,1781
238,reversion,582,561,2493,1765
239,reversion,569,561,2504,1715
240,reversion,564,566,2461,1697
241,reversion,576,566,2441,1662
242,reversion,587,593,2400,1645
243,reversion,576,557,2577,1591
244,reversion,580,536,2579,1834
245,reversion,577,537,2505,1941
246,reversion,597,562,2467,1913
247,reversion,614,580,2614,1842
248,reversion,629,593,2689,1772
249,reversion,632,593,2720,1712
250,reversion,607,595,2670,1695
251,reversion,620,611,2630,1670
252,reversion,617,611,2687,1610
253,reversion,612,628,2639,1596
254,reversion,602,634,2704,1537
255,reversion,592,607,2684,1504
256,reversion,594,613,2643,1657
257,reversion,605,613,2624,1620
258,reversion,611,600,2578,1606
259,reversion,617,584,2508,1656
260,reversion,610,595,2440,1724
261,reversion,604,599,2459,1674
262,reversion,612,588,2433,1643
263,reversion,613,605,2369,1679
264,reversion,621,603,2437,1624
265,reversion,626,588,2387,1616
266,reversion,610,588,2327,1676
267,reversion,621,576,2288,1658
268,reversion,618,610,2229,1698
269,reversion,624,611,2499,1667
270,reversion,621,631,2459,1646
271,reversion,626,667,2555,1588
272,reversion,611,644,2861,1530
273,reversion,609,629,2792,1653
274,reversion,619,629,2710,1718
275,reversion,638,629,2662,1702
276,reversion,656,629,2617,1686
277,reversion,646,623,2570,1669
278,reversion,629,613,2506,1679
279,reversion,632,618,2439,1709
280,reversion,620,618,2419,1674
281,reversion,609,621,2378,1657
282,reversion,597,630,2350,1629
283,reversion,590,622,2355,1587
284,reversion,576,605,2296,1606
285,reversion,585,588,2243,1679
286,reversion,582,588,2189,1753
287,reversion,581,588,2155,1732
288,reversion,584,591,2122,1713
